alert_id,alert_timestamp,alert_type,severity,sku_id,retailer_name,metric_name,threshold_value,actual_value,root_cause_narrative,status,assigned_to,assignment_comment,resolved_timestamp
ALERT-20240713-0037,2024-07-13 08:00:00,VELOCITY_DECLINE,Medium,SKU-A05,Walmart,VELOCITY DECLINE,10,16.29,Velocity for Apex Classic White Cheddar Popcorn 24oz at Walmart declined 16.29% week-over-week vs. 10% alert threshold. Possible competitive distribution gain or shelf reset.,Open,,,
ALERT-20240601-0016,2024-06-01 08:00:00,PROMO_ROI_MISS,Medium,SKU-A08,Walmart,PROMO ROI MISS,1,0.22,Promo ROI for Apex Pure Unsalted Rice Cakes 12pk at Walmart came in at 0.22x vs. 1x target. Trade spend efficiency is below breakeven.,Open,,,
ALERT-20240504-0068,2024-05-04 08:00:00,DISTRIBUTION_LOSS,Low,SKU-A07,Walmart,DISTRIBUTION LOSS,5,7.05,ACV distribution for Apex Max Variety Pack 6ct at Walmart dropped 7.05 points vs. prior period. Verify item status and planogram compliance with buyer.,Resolved,john.smith@company.com,Please review and take action.,2024-05-09 00:00:00
ALERT-20240217-0014,2024-02-17 08:00:00,VELOCITY_DECLINE,Medium,SKU-B10,Walmart,VELOCITY DECLINE,10,11.62,Velocity for Bolt XL Bulk Energy Can 128oz at Walmart declined 11.62% week-over-week vs. 10% alert threshold. Possible competitive distribution gain or shelf reset.,Open,,,
ALERT-20240203-0108,2024-02-03 08:00:00,VELOCITY_DECLINE,Medium,SKU-B01,Walmart,VELOCITY DECLINE,10,12,Velocity for Bolt Original Energy Drink 12oz Single at Walmart declined 12% week-over-week vs. 10% alert threshold. Possible competitive distribution gain or shelf reset.,Open,,,
ALERT-20240113-0057,2024-01-13 08:00:00,DISTRIBUTION_LOSS,Low,SKU-C03,Walmart,DISTRIBUTION LOSS,5,6.6,ACV distribution for Silke Lite Daily Shampoo 12oz at Walmart dropped 6.6 points vs. prior period. Verify item status and planogram compliance with buyer.,Open,,,
ALERT-20231021-0042,2023-10-21 08:00:00,DISTRIBUTION_LOSS,Low,SKU-A07,Walmart,DISTRIBUTION LOSS,5,10.98,ACV distribution for Apex Max Variety Pack 6ct at Walmart dropped 10.98 points vs. prior period. Verify item status and planogram compliance with buyer.,Acknowledged,,,
ALERT-20230916-0119,2023-09-16 08:00:00,PROMO_ROI_MISS,Medium,SKU-C08,Walmart,PROMO ROI MISS,1,0.45,Promo ROI for Silke Pure Sulfate-Free Shampoo 12pk Travel at Walmart came in at 0.45x vs. 1x target. Trade spend efficiency is below breakeven.,Open,,,
ALERT-20230909-0090,2023-09-09 08:00:00,PROMO_ROI_MISS,Medium,SKU-A04,Walmart,PROMO ROI MISS,1,0.36,Promo ROI for Apex Premium Aged Cheddar Puffs 16oz at Walmart came in at 0.36x vs. 1x target. Trade spend efficiency is below breakeven.,Open,,,
ALERT-20230826-0019,2023-08-26 08:00:00,PROMO_ROI_MISS,Medium,SKU-B05,Walmart,PROMO ROI MISS,1,0.41,Promo ROI for Bolt Classic Energy Blend 24oz at Walmart came in at 0.41x vs. 1x target. Trade spend efficiency is below breakeven.,Acknowledged,,,
ALERT-20230819-0080,2023-08-19 08:00:00,DISTRIBUTION_LOSS,Low,SKU-B10,Walmart,DISTRIBUTION LOSS,5,7.89,ACV distribution for Bolt XL Bulk Energy Can 128oz at Walmart dropped 7.89 points vs. prior period. Verify item status and planogram compliance with buyer.,Acknowledged,,,
