alert_id,alert_timestamp,alert_type,severity,sku_id,retailer_name,metric_name,threshold_value,actual_value,root_cause_narrative,status,assigned_to,assignment_comment,resolved_timestamp
ALERT-20240928-0048,2024-09-28 08:00:00,OOS_BREACH,High,SKU-A09,Amazon,OOS BREACH,5,15.16,OOS rate 15.16% at Amazon exceeded 5% threshold for Brand A Value Fresh. DC safety stock may be depleted.,Open,,,
ALERT-20240914-0043,2024-09-14 08:00:00,OOS_BREACH,High,SKU-A08,Kroger,OOS BREACH,5,12.54,OOS rate 12.54% at Kroger exceeded 5% threshold for Brand A 12pk Pure. DC safety stock may be depleted.,Open,,,
ALERT-20240831-0001,2024-08-31 08:00:00,OOS_BREACH,High,SKU-A10,CVS,OOS BREACH,5,7.96,OOS rate 7.96% at CVS exceeded 5% threshold for Brand A XL Wild. DC safety stock may be depleted.,Open,,,
ALERT-20240831-0038,2024-08-31 08:00:00,DISTRIBUTION_LOSS,Low,SKU-A06,Amazon,DISTRIBUTION LOSS,5,11.13,ACV distribution for Brand A 32oz Pro at Amazon dropped 11.13 points. Possible delist or planogram reset.,Open,,,
ALERT-20240831-0061,2024-08-31 08:00:00,VELOCITY_DECLINE,Medium,SKU-B09,CVS,VELOCITY DECLINE,10,20.26,"Velocity for Brand B Value Fresh at CVS declined 20.26% week-over-week, below 10% threshold.",Acknowledged,,,
ALERT-20240831-0091,2024-08-31 08:00:00,PROMO_ROI_MISS,Medium,SKU-A01,Target,PROMO ROI MISS,1,0.93,Promo ROI for Brand A 4oz Original at Target came in at 0.93x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20240817-0088,2024-08-17 08:00:00,VELOCITY_DECLINE,Medium,SKU-A02,Amazon,VELOCITY DECLINE,10,18.33,"Velocity for Brand A 8oz Bold at Amazon declined 18.33% week-over-week, below 10% threshold.",Resolved,john.smith@company.com,Please review and take action.,2024-08-18 00:00:00
ALERT-20240810-0020,2024-08-10 08:00:00,PROMO_ROI_MISS,Medium,SKU-A08,Kroger,PROMO ROI MISS,1,0.35,Promo ROI for Brand A 12pk Pure at Kroger came in at 0.35x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20240810-0025,2024-08-10 08:00:00,DISTRIBUTION_LOSS,Low,SKU-C03,Costco,DISTRIBUTION LOSS,5,15.48,ACV distribution for Brand C 12oz Lite at Costco dropped 15.48 points. Possible delist or planogram reset.,Assigned,sarah.jones@company.com,Please review and take action.,
ALERT-20240810-0090,2024-08-10 08:00:00,OOS_BREACH,High,SKU-C05,Kroger,OOS BREACH,5,14.2,OOS rate 14.2% at Kroger exceeded 5% threshold for Brand C 24oz Classic. DC safety stock may be depleted.,Assigned,john.smith@company.com,Please review and take action.,
ALERT-20240810-0110,2024-08-10 08:00:00,OOS_BREACH,High,SKU-A08,CVS,OOS BREACH,5,13.11,OOS rate 13.11% at CVS exceeded 5% threshold for Brand A 12pk Pure. DC safety stock may be depleted.,Assigned,sarah.jones@company.com,Please review and take action.,
ALERT-20240803-0105,2024-08-03 08:00:00,DISTRIBUTION_LOSS,Low,SKU-C04,Amazon,DISTRIBUTION LOSS,5,8.24,ACV distribution for Brand C 16oz Premium at Amazon dropped 8.24 points. Possible delist or planogram reset.,Resolved,sarah.jones@company.com,Please review and take action.,2024-08-07 00:00:00
ALERT-20240803-0118,2024-08-03 08:00:00,DISTRIBUTION_LOSS,Low,SKU-C01,Kroger,DISTRIBUTION LOSS,5,6.33,ACV distribution for Brand C 4oz Original at Kroger dropped 6.33 points. Possible delist or planogram reset.,Acknowledged,,,
ALERT-20240720-0107,2024-07-20 08:00:00,DISTRIBUTION_LOSS,Low,SKU-A09,Target,DISTRIBUTION LOSS,5,7.96,ACV distribution for Brand A Value Fresh at Target dropped 7.96 points. Possible delist or planogram reset.,Open,,,
ALERT-20240706-0013,2024-07-06 08:00:00,VELOCITY_DECLINE,Medium,SKU-A08,Kroger,VELOCITY DECLINE,10,13.14,"Velocity for Brand A 12pk Pure at Kroger declined 13.14% week-over-week, below 10% threshold.",Resolved,mike.chen@company.com,Please review and take action.,2024-07-09 00:00:00
ALERT-20240706-0055,2024-07-06 08:00:00,DISTRIBUTION_LOSS,Low,SKU-A03,Walmart,DISTRIBUTION LOSS,5,12.54,ACV distribution for Brand A 12oz Lite at Walmart dropped 12.54 points. Possible delist or planogram reset.,Acknowledged,,,
ALERT-20240629-0064,2024-06-29 08:00:00,VELOCITY_DECLINE,Medium,SKU-B02,Target,VELOCITY DECLINE,10,12.37,"Velocity for Brand B 8oz Bold at Target declined 12.37% week-over-week, below 10% threshold.",Open,,,
ALERT-20240622-0082,2024-06-22 08:00:00,VELOCITY_DECLINE,Medium,SKU-C08,CVS,VELOCITY DECLINE,10,13.37,"Velocity for Brand C 12pk Pure at CVS declined 13.37% week-over-week, below 10% threshold.",Open,,,
ALERT-20240615-0023,2024-06-15 08:00:00,VELOCITY_DECLINE,Medium,SKU-C05,Walmart,VELOCITY DECLINE,10,12.02,"Velocity for Brand C 24oz Classic at Walmart declined 12.02% week-over-week, below 10% threshold.",Assigned,sarah.jones@company.com,Please review and take action.,
ALERT-20240601-0059,2024-06-01 08:00:00,VELOCITY_DECLINE,Medium,SKU-B04,Kroger,VELOCITY DECLINE,10,11.6,"Velocity for Brand B 16oz Premium at Kroger declined 11.6% week-over-week, below 10% threshold.",Open,,,
ALERT-20240601-0089,2024-06-01 08:00:00,PROMO_ROI_MISS,Medium,SKU-A09,Walmart,PROMO ROI MISS,1,0.81,Promo ROI for Brand A Value Fresh at Walmart came in at 0.81x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20240525-0003,2024-05-25 08:00:00,VELOCITY_DECLINE,Medium,SKU-B06,CVS,VELOCITY DECLINE,10,20.81,"Velocity for Brand B 32oz Pro at CVS declined 20.81% week-over-week, below 10% threshold.",Assigned,john.smith@company.com,Please review and take action.,
ALERT-20240525-0052,2024-05-25 08:00:00,PROMO_ROI_MISS,Medium,SKU-C06,CVS,PROMO ROI MISS,1,0.94,Promo ROI for Brand C 32oz Pro at CVS came in at 0.94x vs 1x target. Trade spend below breakeven.,Acknowledged,,,
ALERT-20240525-0097,2024-05-25 08:00:00,OOS_BREACH,High,SKU-B07,Costco,OOS BREACH,5,8.59,OOS rate 8.59% at Costco exceeded 5% threshold for Brand B 6pk Max. DC safety stock may be depleted.,Open,,,
ALERT-20240518-0040,2024-05-18 08:00:00,PROMO_ROI_MISS,Medium,SKU-C05,Target,PROMO ROI MISS,1,0.55,Promo ROI for Brand C 24oz Classic at Target came in at 0.55x vs 1x target. Trade spend below breakeven.,Resolved,mike.chen@company.com,Please review and take action.,2024-05-23 00:00:00
ALERT-20240504-0029,2024-05-04 08:00:00,PROMO_ROI_MISS,Medium,SKU-C05,Walmart,PROMO ROI MISS,1,0.9,Promo ROI for Brand C 24oz Classic at Walmart came in at 0.9x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20240420-0036,2024-04-20 08:00:00,DISTRIBUTION_LOSS,Low,SKU-A10,Target,DISTRIBUTION LOSS,5,11.32,ACV distribution for Brand A XL Wild at Target dropped 11.32 points. Possible delist or planogram reset.,Assigned,mike.chen@company.com,Please review and take action.,
ALERT-20240413-0024,2024-04-13 08:00:00,DISTRIBUTION_LOSS,Low,SKU-C08,Target,DISTRIBUTION LOSS,5,14.28,ACV distribution for Brand C 12pk Pure at Target dropped 14.28 points. Possible delist or planogram reset.,Acknowledged,,,
ALERT-20240413-0026,2024-04-13 08:00:00,DISTRIBUTION_LOSS,Low,SKU-A03,CVS,DISTRIBUTION LOSS,5,12.83,ACV distribution for Brand A 12oz Lite at CVS dropped 12.83 points. Possible delist or planogram reset.,Resolved,mike.chen@company.com,Please review and take action.,2024-04-18 00:00:00
ALERT-20240413-0078,2024-04-13 08:00:00,OOS_BREACH,High,SKU-A03,Walmart,OOS BREACH,5,10.22,OOS rate 10.22% at Walmart exceeded 5% threshold for Brand A 12oz Lite. DC safety stock may be depleted.,Acknowledged,,,
ALERT-20240406-0005,2024-04-06 08:00:00,VELOCITY_DECLINE,Medium,SKU-A04,Walmart,VELOCITY DECLINE,10,17.57,"Velocity for Brand A 16oz Premium at Walmart declined 17.57% week-over-week, below 10% threshold.",Acknowledged,,,
ALERT-20240323-0016,2024-03-23 08:00:00,VELOCITY_DECLINE,Medium,SKU-C01,Target,VELOCITY DECLINE,10,12.81,"Velocity for Brand C 4oz Original at Target declined 12.81% week-over-week, below 10% threshold.",Acknowledged,,,
ALERT-20240323-0086,2024-03-23 08:00:00,DISTRIBUTION_LOSS,Low,SKU-A08,Target,DISTRIBUTION LOSS,5,10.34,ACV distribution for Brand A 12pk Pure at Target dropped 10.34 points. Possible delist or planogram reset.,Resolved,mike.chen@company.com,Please review and take action.,2024-03-27 00:00:00
ALERT-20240316-0006,2024-03-16 08:00:00,VELOCITY_DECLINE,Medium,SKU-C09,Walmart,VELOCITY DECLINE,10,17.04,"Velocity for Brand C Value Fresh at Walmart declined 17.04% week-over-week, below 10% threshold.",Resolved,john.smith@company.com,Please review and take action.,2024-03-20 00:00:00
ALERT-20240302-0033,2024-03-02 08:00:00,PROMO_ROI_MISS,Medium,SKU-C03,Walmart,PROMO ROI MISS,1,0.59,Promo ROI for Brand C 12oz Lite at Walmart came in at 0.59x vs 1x target. Trade spend below breakeven.,Assigned,john.smith@company.com,Please review and take action.,
ALERT-20240302-0058,2024-03-02 08:00:00,OOS_BREACH,High,SKU-A10,Kroger,OOS BREACH,5,14.68,OOS rate 14.68% at Kroger exceeded 5% threshold for Brand A XL Wild. DC safety stock may be depleted.,Open,,,
ALERT-20240302-0096,2024-03-02 08:00:00,PROMO_ROI_MISS,Medium,SKU-A03,Kroger,PROMO ROI MISS,1,0.85,Promo ROI for Brand A 12oz Lite at Kroger came in at 0.85x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20240302-0115,2024-03-02 08:00:00,PROMO_ROI_MISS,Medium,SKU-B09,Kroger,PROMO ROI MISS,1,0.64,Promo ROI for Brand B Value Fresh at Kroger came in at 0.64x vs 1x target. Trade spend below breakeven.,Assigned,sarah.jones@company.com,Please review and take action.,
ALERT-20240224-0031,2024-02-24 08:00:00,VELOCITY_DECLINE,Medium,SKU-B03,Target,VELOCITY DECLINE,10,19.02,"Velocity for Brand B 12oz Lite at Target declined 19.02% week-over-week, below 10% threshold.",Acknowledged,,,
ALERT-20240217-0030,2024-02-17 08:00:00,PROMO_ROI_MISS,Medium,SKU-C02,Walmart,PROMO ROI MISS,1,0.76,Promo ROI for Brand C 8oz Bold at Walmart came in at 0.76x vs 1x target. Trade spend below breakeven.,Assigned,sarah.jones@company.com,Please review and take action.,
ALERT-20240210-0051,2024-02-10 08:00:00,DISTRIBUTION_LOSS,Low,SKU-A06,Target,DISTRIBUTION LOSS,5,13.69,ACV distribution for Brand A 32oz Pro at Target dropped 13.69 points. Possible delist or planogram reset.,Acknowledged,,,
ALERT-20240210-0081,2024-02-10 08:00:00,OOS_BREACH,High,SKU-A02,Costco,OOS BREACH,5,6.97,OOS rate 6.97% at Costco exceeded 5% threshold for Brand A 8oz Bold. DC safety stock may be depleted.,Open,,,
ALERT-20240210-0100,2024-02-10 08:00:00,VELOCITY_DECLINE,Medium,SKU-B07,Walmart,VELOCITY DECLINE,10,11.78,"Velocity for Brand B 6pk Max at Walmart declined 11.78% week-over-week, below 10% threshold.",Open,,,
ALERT-20240203-0083,2024-02-03 08:00:00,PROMO_ROI_MISS,Medium,SKU-B03,Amazon,PROMO ROI MISS,1,0.23,Promo ROI for Brand B 12oz Lite at Amazon came in at 0.23x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20240127-0092,2024-01-27 08:00:00,PROMO_ROI_MISS,Medium,SKU-C08,Walmart,PROMO ROI MISS,1,0.79,Promo ROI for Brand C 12pk Pure at Walmart came in at 0.79x vs 1x target. Trade spend below breakeven.,Acknowledged,,,
ALERT-20240127-0106,2024-01-27 08:00:00,PROMO_ROI_MISS,Medium,SKU-B05,Target,PROMO ROI MISS,1,0.32,Promo ROI for Brand B 24oz Classic at Target came in at 0.32x vs 1x target. Trade spend below breakeven.,Resolved,mike.chen@company.com,Please review and take action.,2024-01-29 00:00:00
ALERT-20240120-0104,2024-01-20 08:00:00,VELOCITY_DECLINE,Medium,SKU-C03,Kroger,VELOCITY DECLINE,10,14.32,"Velocity for Brand C 12oz Lite at Kroger declined 14.32% week-over-week, below 10% threshold.",Open,,,
ALERT-20240113-0015,2024-01-13 08:00:00,PROMO_ROI_MISS,Medium,SKU-A05,Kroger,PROMO ROI MISS,1,0.33,Promo ROI for Brand A 24oz Classic at Kroger came in at 0.33x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20240106-0009,2024-01-06 08:00:00,DISTRIBUTION_LOSS,Low,SKU-B05,Kroger,DISTRIBUTION LOSS,5,12.67,ACV distribution for Brand B 24oz Classic at Kroger dropped 12.67 points. Possible delist or planogram reset.,Assigned,mike.chen@company.com,Please review and take action.,
ALERT-20231223-0010,2023-12-23 08:00:00,OOS_BREACH,High,SKU-C09,CVS,OOS BREACH,5,12.79,OOS rate 12.79% at CVS exceeded 5% threshold for Brand C Value Fresh. DC safety stock may be depleted.,Open,,,
ALERT-20231223-0077,2023-12-23 08:00:00,PROMO_ROI_MISS,Medium,SKU-B03,Kroger,PROMO ROI MISS,1,0.3,Promo ROI for Brand B 12oz Lite at Kroger came in at 0.3x vs 1x target. Trade spend below breakeven.,Assigned,sarah.jones@company.com,Please review and take action.,
ALERT-20231216-0017,2023-12-16 08:00:00,PROMO_ROI_MISS,Medium,SKU-C03,CVS,PROMO ROI MISS,1,0.25,Promo ROI for Brand C 12oz Lite at CVS came in at 0.25x vs 1x target. Trade spend below breakeven.,Resolved,john.smith@company.com,Please review and take action.,2023-12-17 00:00:00
ALERT-20231216-0019,2023-12-16 08:00:00,OOS_BREACH,High,SKU-B06,CVS,OOS BREACH,5,7.42,OOS rate 7.42% at CVS exceeded 5% threshold for Brand B 32oz Pro. DC safety stock may be depleted.,Assigned,sarah.jones@company.com,Please review and take action.,
ALERT-20231216-0062,2023-12-16 08:00:00,DISTRIBUTION_LOSS,Low,SKU-A10,Costco,DISTRIBUTION LOSS,5,12.74,ACV distribution for Brand A XL Wild at Costco dropped 12.74 points. Possible delist or planogram reset.,Acknowledged,,,
ALERT-20231209-0049,2023-12-09 08:00:00,VELOCITY_DECLINE,Medium,SKU-A07,Walmart,VELOCITY DECLINE,10,16.6,"Velocity for Brand A 6pk Max at Walmart declined 16.6% week-over-week, below 10% threshold.",Resolved,mike.chen@company.com,Please review and take action.,2023-12-14 00:00:00
ALERT-20231202-0073,2023-12-02 08:00:00,PROMO_ROI_MISS,Medium,SKU-C09,Amazon,PROMO ROI MISS,1,0.68,Promo ROI for Brand C Value Fresh at Amazon came in at 0.68x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20231125-0108,2023-11-25 08:00:00,VELOCITY_DECLINE,Medium,SKU-C09,Walmart,VELOCITY DECLINE,10,14.84,"Velocity for Brand C Value Fresh at Walmart declined 14.84% week-over-week, below 10% threshold.",Open,,,
ALERT-20231111-0111,2023-11-11 08:00:00,DISTRIBUTION_LOSS,Low,SKU-B03,Amazon,DISTRIBUTION LOSS,5,11.81,ACV distribution for Brand B 12oz Lite at Amazon dropped 11.81 points. Possible delist or planogram reset.,Open,,,
ALERT-20231104-0037,2023-11-04 08:00:00,OOS_BREACH,High,SKU-C06,CVS,OOS BREACH,5,16.93,OOS rate 16.93% at CVS exceeded 5% threshold for Brand C 32oz Pro. DC safety stock may be depleted.,Open,,,
ALERT-20231104-0068,2023-11-04 08:00:00,VELOCITY_DECLINE,Medium,SKU-B06,Amazon,VELOCITY DECLINE,10,16.42,"Velocity for Brand B 32oz Pro at Amazon declined 16.42% week-over-week, below 10% threshold.",Resolved,john.smith@company.com,Please review and take action.,2023-11-09 00:00:00
ALERT-20231104-0114,2023-11-04 08:00:00,PROMO_ROI_MISS,Medium,SKU-B03,CVS,PROMO ROI MISS,1,0.44,Promo ROI for Brand B 12oz Lite at CVS came in at 0.44x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20231028-0008,2023-10-28 08:00:00,VELOCITY_DECLINE,Medium,SKU-C04,Amazon,VELOCITY DECLINE,10,14.23,"Velocity for Brand C 16oz Premium at Amazon declined 14.23% week-over-week, below 10% threshold.",Acknowledged,,,
ALERT-20231028-0018,2023-10-28 08:00:00,DISTRIBUTION_LOSS,Low,SKU-A09,CVS,DISTRIBUTION LOSS,5,14.44,ACV distribution for Brand A Value Fresh at CVS dropped 14.44 points. Possible delist or planogram reset.,Open,,,
ALERT-20231028-0022,2023-10-28 08:00:00,PROMO_ROI_MISS,Medium,SKU-A01,Target,PROMO ROI MISS,1,0.75,Promo ROI for Brand A 4oz Original at Target came in at 0.75x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20231028-0042,2023-10-28 08:00:00,OOS_BREACH,High,SKU-C07,Target,OOS BREACH,5,16.15,OOS rate 16.15% at Target exceeded 5% threshold for Brand C 6pk Max. DC safety stock may be depleted.,Resolved,mike.chen@company.com,Please review and take action.,2023-10-31 00:00:00
ALERT-20231021-0044,2023-10-21 08:00:00,OOS_BREACH,High,SKU-A06,Amazon,OOS BREACH,5,6.96,OOS rate 6.96% at Amazon exceeded 5% threshold for Brand A 32oz Pro. DC safety stock may be depleted.,Acknowledged,,,
ALERT-20231021-0050,2023-10-21 08:00:00,VELOCITY_DECLINE,Medium,SKU-C08,Target,VELOCITY DECLINE,10,18.25,"Velocity for Brand C 12pk Pure at Target declined 18.25% week-over-week, below 10% threshold.",Open,,,
ALERT-20231021-0079,2023-10-21 08:00:00,PROMO_ROI_MISS,Medium,SKU-A01,Kroger,PROMO ROI MISS,1,0.22,Promo ROI for Brand A 4oz Original at Kroger came in at 0.22x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20231014-0034,2023-10-14 08:00:00,OOS_BREACH,High,SKU-B04,Amazon,OOS BREACH,5,16.82,OOS rate 16.82% at Amazon exceeded 5% threshold for Brand B 16oz Premium. DC safety stock may be depleted.,Open,,,
ALERT-20231014-0076,2023-10-14 08:00:00,PROMO_ROI_MISS,Medium,SKU-C02,Target,PROMO ROI MISS,1,0.44,Promo ROI for Brand C 8oz Bold at Target came in at 0.44x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20231007-0028,2023-10-07 08:00:00,OOS_BREACH,High,SKU-B04,Costco,OOS BREACH,5,7.52,OOS rate 7.52% at Costco exceeded 5% threshold for Brand B 16oz Premium. DC safety stock may be depleted.,Open,,,
ALERT-20230930-0054,2023-09-30 08:00:00,OOS_BREACH,High,SKU-A09,Costco,OOS BREACH,5,6.82,OOS rate 6.82% at Costco exceeded 5% threshold for Brand A Value Fresh. DC safety stock may be depleted.,Open,,,
ALERT-20230923-0011,2023-09-23 08:00:00,OOS_BREACH,High,SKU-A04,Costco,OOS BREACH,5,7.68,OOS rate 7.68% at Costco exceeded 5% threshold for Brand A 16oz Premium. DC safety stock may be depleted.,Acknowledged,,,
ALERT-20230923-0041,2023-09-23 08:00:00,VELOCITY_DECLINE,Medium,SKU-C02,Target,VELOCITY DECLINE,10,20.43,"Velocity for Brand C 8oz Bold at Target declined 20.43% week-over-week, below 10% threshold.",Acknowledged,,,
ALERT-20230909-0035,2023-09-09 08:00:00,PROMO_ROI_MISS,Medium,SKU-C05,Target,PROMO ROI MISS,1,0.35,Promo ROI for Brand C 24oz Classic at Target came in at 0.35x vs 1x target. Trade spend below breakeven.,Resolved,john.smith@company.com,Please review and take action.,2023-09-13 00:00:00
ALERT-20230909-0117,2023-09-09 08:00:00,VELOCITY_DECLINE,Medium,SKU-C04,Target,VELOCITY DECLINE,10,12.55,"Velocity for Brand C 16oz Premium at Target declined 12.55% week-over-week, below 10% threshold.",Assigned,john.smith@company.com,Please review and take action.,
ALERT-20230902-0072,2023-09-02 08:00:00,PROMO_ROI_MISS,Medium,SKU-B09,CVS,PROMO ROI MISS,1,0.59,Promo ROI for Brand B Value Fresh at CVS came in at 0.59x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20230902-0116,2023-09-02 08:00:00,PROMO_ROI_MISS,Medium,SKU-B01,Costco,PROMO ROI MISS,1,0.39,Promo ROI for Brand B 4oz Original at Costco came in at 0.39x vs 1x target. Trade spend below breakeven.,Open,,,
ALERT-20230826-0002,2023-08-26 08:00:00,PROMO_ROI_MISS,Medium,SKU-A06,Target,PROMO ROI MISS,1,0.31,Promo ROI for Brand A 32oz Pro at Target came in at 0.31x vs 1x target. Trade spend below breakeven.,Acknowledged,,,
ALERT-20230826-0056,2023-08-26 08:00:00,VELOCITY_DECLINE,Medium,SKU-B10,Costco,VELOCITY DECLINE,10,16.2,"Velocity for Brand B XL Wild at Costco declined 16.2% week-over-week, below 10% threshold.",Open,,,
ALERT-20230826-0109,2023-08-26 08:00:00,OOS_BREACH,High,SKU-B02,CVS,OOS BREACH,5,11.18,OOS rate 11.18% at CVS exceeded 5% threshold for Brand B 8oz Bold. DC safety stock may be depleted.,Resolved,mike.chen@company.com,Please review and take action.,2023-08-31 00:00:00
